Chromophore,Absorption
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,489
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,343
ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,343
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,343
c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,343
c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,343
c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,343
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,580
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,615
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,664
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,374
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,438
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,357
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,372
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,353
O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,362
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,436
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,533
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,488
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,437
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,445
O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,414
O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,394
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])c(OCCOc2cc3cc(-c4ncc(C(=O)[O-])o4)oc3cc2N(CC(=O)[O-])CC(=O)[O-])c1,362
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])cc1OCCOc1cc(-c2cc3ccc(C(=O)[O-])cc3[nH]2)ccc1N(CC(=O)[O-])CC(=O)[O-],349
CC(=O)OCOC(=O)CN(CC(=O)OCOC(C)=O)c1ccccc1OCCOc1cc(NC(=O)c2ccc3c(c2)C(=O)OC32c3cc(Cl)c(OC(C)=O)cc3Oc3cc(OC(C)=O)c(Cl)cc32)ccc1N(CC(=O)OCOC(C)=O)CC(=O)OCOC(C)=O,506
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2nc(COc3cc(C)ccc3N(CC(=O)[O-])CC(=O)[O-])ccc2c1,356
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2ncccc2c1,353
O=C([O-])COc1cc(NC(=O)c2ccc(-c3c4cc(Cl)c(=O)cc-4oc4cc(O)c(Cl)cc34)c(C(=O)[O-])c2)ccc1N(CC(=O)[O-])CC(=O)[O-],506
COc1cc2cc(-c3ccc(C(=O)OCOC(C)=O)cc3C(=O)OCOC(C)=O)oc2cc1N1CCOCCOCCN(c2cc3oc(-c4ccc(C(=O)OCOC(C)=O)cc4C(=O)OCOC(C)=O)cc3cc2OC)CCOCCOCC1,350
COc1cc(N2CCOCCOCCN(c3cc(OC)c(NC(=O)c4ccc(-c5c6cc(Cl)c(=O)cc-6oc6cc([O-])c(Cl)cc56)c(C(=O)[O-])c4)cc3OC)CCOCC2)c(OC)cc1NC(=O)c1ccc(-c2c3cc(Cl)c(=O)cc-3oc3cc([O-])c(Cl)cc23)c(C(=O)[O-])c1,507
CCN1CCCc2cc3c(cc21)Oc1cc2c(cc1=N3)C(CS(=O)(=O)[O-])CC(C)(C)[N+]=2CCCC(=O)[O-],655
CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,500
Nc1ccc2c(-c3ccc(C(=O)CN4C(=O)CCC4=O)cc3C(=O)[O-])c3ccc(=[NH2+])c(S(=O)(=O)[O-])c-3oc2c1S(=O)(=O)[O-],494
CC1(CCCCC(=O)NCCCCCCO)C(/C=C/C=C/C=C2/N(CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,651
CC1=CC(C)=[N+]2C1=Cc1ccc(CCC(=O)ON3C(=O)CCC3=O)n1[B-]2(F)F,502
CC1(C)C2=C3C=C4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCCCO)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,558
CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,548
O=C([O-])c1cc(N2C(=O)C=CC2=O)ccc1-c1c2cc(F)c(=O)cc-2oc2cc([O-])c(F)cc12,493
CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,780
NC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)C[C@@H]3O)O2)C=CC1,350
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,275
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,280
c1ccc2[nH]ccc2c1,290
Nc1ncc2nc[nH]c2n1,290
N[C@@H](Cc1ccc(O)cc1)C(=O)O,285
Nc1ccccc1C(=O)O,290
c1ccc2cc3ccccc3cc2c1,355
O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,454
NNC(=O)N1C(=O)c2cc(S(=O)(=O)[O-])cc3c(N)c(S(=O)(=O)[O-])cc(c23)C1=O,458
O=S(=O)([O-])c1cc(S(=O)(=O)Cl)ccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,589
N#Cc1cccc2[nH]ccc12,305
N#Cc1ccc2[nH]ccc2c1,275
N#Cc1ccc2cc[nH]c2c1,285
N#Cc1cccc2cc[nH]c12,308
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,401
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,408
CC/C=C/C=C/C=C/C=C/CCCCCCCC(=O)O,313
CC/C=C\C=C\C=C\C=C/CCCCCCCC(=O)O,318.6
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,368
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,395
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,442
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,457
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,468
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,497
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,499
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,500
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,501
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,360
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,383
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,393
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,403
Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,455
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,453
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,443
COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,443
COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,442
Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,443
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,444
CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,460
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,471
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,480
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,516
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,540
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,541
CCCCCCCCCCN1C(=O)c2cc(NCCCOCCO)c3c4c(cc(NCCCOCCO)c(c24)C1=O)C(=O)N(CCCCCCCCCC)C3=O,609
CC(=O)OCCOCCN1C(=O)c2cc(NCCOCCO)c3c4c(cc(NCCOCCO)c(c24)C1=O)C(=O)N(CCOCCOC(C)=O)C3=O,610
COCCOCCOCCN1C(=O)c2cc(NCCOCCO)c3c4c(cc(NCCOCCO)c(c24)C1=O)C(=O)N(CCOCCOCCOC)C3=O,610
COCCOCCOCCNc1cc2c3c(c(NCCOCCOCCOC)cc4c3c1C(=O)N(CCOCCOCCOC)C4=O)C(=O)N(CCOCCOCCOC)C2=O,610
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,519
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,509
C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,512
C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,512
COc1nnc(Cl)nn1,518
CCCCCCN1C(=O)c2cccc3c(-c4cc5ccccc5s4)ccc(c23)C1=O,378
CCCCCCN1C(=O)c2cccc3c(-c4cccs4)ccc(c23)C1=O,371
CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c7c(cccc57)C(=O)N(CCCCCC)C6=O)s4)ccc(c23)C1=O,395
CCCCCCN1C(=O)c2cccc3c(-c4scc5c4OCCO5)ccc(c23)C1=O,390
CCCCCCN1C(=O)c2cccc3c(-c4sc(-c5ccc6c7c(cccc57)C(=O)N(CCCCCC)C6=O)c5c4OCCO5)ccc(c23)C1=O,416
CCCCCCN1C(=O)c2cccc3c(-c4ccc(C)s4)ccc(c23)C1=O,385
CCCCCCN1C(=O)c2cccc3c(-c4ccc(OC)s4)ccc(c23)C1=O,407
CCCCCCN1C(=O)c2cccc3c(-c4ccc(Cl)s4)ccc(c23)C1=O,374
CCCCCCN1C(=O)c2cccc3c(-c4ccc([N+](=O)[O-])s4)ccc(c23)C1=O,363
CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cccs5)s4)ccc(c23)C1=O,409
CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc(-c6ccc7c8c(cccc68)C(=O)N(CCCCCC)C7=O)s5)s4)ccc(c23)C1=O,428
Clc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,395
COc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,396
COc1nc(Nc2ccc3cc4ccccc4cc3c2)nc(OC)n1,398
Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,398
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4cc5ccccc5cc4c3)n2)cc1,402
Nc1ccc2ccc3cccc4ccc1c2c34,361
Nc1cc2ccc3cccc4ccc(c1)c2c34,338
CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34,341
CC(=O)Nc1cc2ccc3cccc4ccc(c1)c2c34,336
Clc1nc(Cl)nc(Nc2ccc3ccc4cccc5ccc2c3c45)n1,341
Clc1nc(Cl)nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)n1,336
COc1nc(Nc2ccc3ccc4cccc5ccc2c3c45)nc(OC)n1,341
COc1nc(Nc2cc3ccc4cccc5ccc(c2)c3c45)nc(OC)n1,336
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4ccc5cccc6ccc3c4c56)n2)cc1,342
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3cc4ccc5cccc6ccc(c3)c4c56)n2)cc1,336
O=c1oc2ccccc2cc1-c1cccc(-c2cc3ccccc3oc2=O)c1,330
COc1ccc2cc(-c3cccc(-c4cc5ccc(OC)cc5oc4=O)c3)c(=O)oc2c1,344
COc1cc(OC)c2cc(-c3cccc(-c4cc5c(OC)cc(OC)cc5oc4=O)c3)c(=O)oc2c1,352
O=c1oc2ccccc2cc1-c1ccc(-c2cc3ccccc3oc2=O)cc1,346
COc1ccc2cc(-c3ccc(-c4cc5ccc(OC)cc5oc4=O)cc3)c(=O)oc2c1,362
COc1cc(OC)c2cc(-c3ccc(-c4cc5c(OC)cc(OC)cc5oc4=O)cc3)c(=O)oc2c1,372
N#CCc1ccccc1-c1cc2ccccc2oc1=O,318
COc1ccc2cc(-c3ccccc3CC#N)c(=O)oc2c1,336
COc1cc(OC)c2cc(-c3ccccc3CC#N)c(=O)oc2c1,342
CCC(CC)c1ccc2cc3c([o+]c2c1)/C(=C/Cc1ccccc1)CCC3,604
CCCCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCCCC)c(OCCCCCCCC)c3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1OCCCCCCCC,461
CCCCCCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCCCCCC)c(OCCCCCCCCCC)c3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1OCCCCCCCCCC,461
CCCCCCCCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1OCCCCCCCCCCCC,461
CCCCCCCCn1nnc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5nnn(CCCCCCCC)n5)cc4)c4nc5c6ccccc6c6ccccc6c5nc34)cc2)n1,428
CCCCCCCCCCn1nnc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5nnn(CCCCCCCCCC)n5)cc4)c4nc5c6ccccc6c6ccccc6c5nc34)cc2)n1,428
CCCCCCCCCCCCn1nnc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5nnn(CCCCCCCCCCCC)n5)cc4)c4nc5c6ccccc6c6ccccc6c5nc34)cc2)n1,428
CN(C)c1ccc(-c2c(/C=C3/C=Cc4ccccc4N3C)c(=O)c2=O)cc1,358
CCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,359
CCCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,358
CCCCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,357
CN(C)c1ccc(-c2c(/C=C3/C=Cc4ccccc4N3Cc3ccccc3)c(=O)c2=O)cc1,358
Cc1nc(-c2ccccc2O)n2c1CCCC2,314
Cc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,321
COc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,332
Cc1nc(-c2cc(F)ccc2O)n2c1CCCC2,326
Cc1nc(-c2cc(C(F)(F)F)ccc2O)n2c1CCCC2,316
Cc1nc(-c2cc(N)ccc2O)n2c1CCCC2,344
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,560
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,404
CC1(C)c2ccccc2-c2ccc(N3c4ccc(-c5ccc(/C=C6\C(=O)c7ccc(C(=O)O)cc7C6=O)s5)cc4C4CCCC43)cc21,608
CCCCCCc1cc(-c2ccc3c(c2)C2CCCC2N3c2ccc3c(c2)C(C)(C)c2ccccc2-3)sc1/C=C1\C(=O)c2ccc(C(=O)O)cc2C1=O,611
c1cc2c3c(cccc3c1)C(N1CCOCCOCCOCCOCC1)=N2,427
c1cc2c3c(cccc3c1)C(N1CCOCCNCCOCCOCC1)=N2,427
c1cc2c3c(cccc3c1)C(N1CCOCCOCCN(C3=Nc4cccc5cccc3c45)CCOCC1)=N2,427
CN(C)C1=Nc2cccc3cccc1c23,427
Nc1ccc(-c2c3nc(c(-c4ccc(N)cc4)c4ccc([nH]4)c(-c4ccc(N)cc4)c4nc(c(-c5ccc(N)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,670
CS(=O)(=O)Nc1ccc(-c2c3nc(c(-c4ccc(NS(C)(=O)=O)cc4)c4ccc([nH]4)c(-c4ccc(NS(C)(=O)=O)cc4)c4nc(c(-c5ccc(NS(C)(=O)=O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,650
O=C(Nc1ccc(-c2c3nc(c(-c4ccc(NC(=O)C(F)(F)F)cc4)c4ccc([nH]4)c(-c4ccc(NC(=O)C(F)(F)F)cc4)c4nc(c(-c5ccc(NC(=O)C(F)(F)F)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1)C(F)(F)F,649
Oc1ccc(-c2c3nc(c(-c4ccc(O)cc4)c4ccc([nH]4)c(-c4ccc(O)cc4)c4nc(c(-c5ccc(O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,653
Nc1cccc(-c2c3nc(c(-c4cccc(N)c4)c4ccc([nH]4)c(-c4cccc(N)c4)c4nc(c(-c5cccc(N)c5)c5ccc2[nH]5)C=C4)C=C3)c1,649
CS(=O)(=O)Nc1cccc(-c2c3nc(c(-c4cccc(NS(C)(=O)=O)c4)c4ccc([nH]4)c(-c4cccc(NS(C)(=O)=O)c4)c4nc(c(-c5cccc(NS(C)(=O)=O)c5)c5ccc2[nH]5)C=C4)C=C3)c1,647
O=C(Nc1cccc(-c2c3nc(c(-c4cccc(NC(=O)C(F)(F)F)c4)c4ccc([nH]4)c(-c4cccc(NC(=O)C(F)(F)F)c4)c4nc(c(-c5cccc(NC(=O)C(F)(F)F)c5)c5ccc2[nH]5)C=C4)C=C3)c1)C(F)(F)F,646
Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)C=C4)C=C3)c1,647
C1=Cc2nc1c(-c1cccs1)c1ccc([nH]1)c(-c1cccs1)c1nc(c(-c3cccs3)c3ccc([nH]3)c2-c2cccs2)C=C1,661
C1=Cc2nc1c(-c1cncs1)c1ccc([nH]1)c(-c1cncs1)c1nc(c(-c3cncs3)c3ccc([nH]3)c2-c2cncs2)C=C1,662
CN(C)c1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(c4ccccc4)C=CC2=C3C(F)(F)F)cc1,665
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C#N,368
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=O,385
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=C(C#N)C#N,477
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,479
CN(C)c1ccc(/C=C/c2cc[n+](CCCOCC(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,486
CN(C)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c3)cc2)cc1,498
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,509
CCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCCCC)C5=O,523
NCCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCCCCN)C5=O,523
CCCCCCCCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCCCCCCCCCC)C5=O,525
Nc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(N)cc2)C6=O)cc1,537
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(Cl)cc1)c64)C(=O)N(c1ccc(Cl)cc1)C5=O,525
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(O)cc1)c64)C(=O)N(c1ccc(O)cc1)C5=O,522
CCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)NC5=O,522
NCCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)NC5=O,523
